pl_name,hostname,tic_id,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma,v_esc,"Loss/0.01protoatm., t=0.1 Gyr",insol_0.1_Gyr,"Loss/0.01protoatm., t=0.6 Gyr",insol_0.6_Gyr,"Loss/0.01protoatm., t=1.0 Gyr",insol_1.0_Gyr,"Loss/0.01protoatm., t=5.0 Gyr",insol_5.0_Gyr,"Loss/0.01protoatm., t=10.0 Gyr",insol_10.0_Gyr,"Loss/0.01protoatm., star_age",insol_star_age
Kepler-1972 c,Kepler-1972,TIC 121604440,0.10493,0.868,2.11,,5818.0,1.384,1.12,1.970,7.4,G1V,0.00100,0.1,1.23,17.4,0.55666860,178.92485,1.37411237,178.92485,1.55178960,178.92485,1.99271605,178.92485,2.13776028,178.92485,2.07758197,188.34621
Kepler-1972 b,Kepler-1972,TIC 121604440,0.08006,0.802,2.02,,5818.0,1.384,1.12,1.970,7.4,G1V,0.00100,0.1,1.23,17.7,0.82298326,307.35397,2.03149858,307.35397,2.29417800,307.35397,2.94604715,307.35397,3.16048169,307.35397,3.07151360,323.53783
Kepler-131 c,Kepler-131,TIC 121660708,0.17391,0.84,8.25,,5685.0,1.03,1.02,1.052,3.66,G4V,0.00100,0.1,1.23,35.0,0.00641391,34.77450,0.01583245,34.77450,0.01787964,34.77450,0.02295997,34.77450,0.02463116,34.77450,0.02211634,33.82021
Kepler-131 b,Kepler-131,TIC 121660708,0.12789,2.41,16.13,,5685.0,1.03,1.02,1.052,3.66,G4V,0.00100,0.1,1.23,28.9,0.07327419,64.30383,0.18087417,64.30383,0.20426179,64.30383,0.26230086,64.30383,0.28139301,64.30383,0.25266298,62.53918
Kepler-7 b,Kepler-7,TIC 121660904,0.06067,18.180998,140.16303,,5933.0,1.966,1.359,4.970,2.9,G0V,0.00100,0.1,1.23,31.0,8.74903232,1350.33651,21.59660784,1350.33651,24.38911993,1350.33651,31.31905949,1350.33651,33.59868628,1350.33651,29.25431769,1273.49357
Kepler-65 e,Kepler-65,TIC 121731834,0.8539307544,13.9,260.0,,6220.0,1.437,1.248,2.934,3.31,F8V,0.00100,0.1,1.23,48.4,0.00338520,4.02304,0.00835622,4.02304,0.00943670,4.02304,0.01211805,4.02304,0.01300009,4.02304,0.01152239,3.86223
Kepler-65 d,Kepler-65,TIC 121731834,0.084,1.52,4.14,,6211.0,1.41,1.25,2.934,2.9,F8V,0.00100,0.1,1.23,18.5,1.80427744,415.75878,4.45378080,415.75878,5.02966924,415.75878,6.45880256,415.75878,6.92892074,415.75878,6.03299924,392.09940
Kepler-65 b,Kepler-65,TIC 121731834,0.035,1.42,2.4,,6211.0,1.41,1.25,2.934,2.9,F8V,0.00100,0.1,1.23,14.5,25.21379802,2394.77056,62.23916976,2394.77056,70.28689814,2394.77056,90.25826071,2394.77056,96.82790718,2394.77056,84.30789033,2258.49253
Kepler-65 c,Kepler-65,TIC 121731834,0.068,2.58,5.4,,6211.0,1.41,1.25,2.934,2.9,F8V,0.00100,0.1,1.23,16.2,7.91380931,634.42776,19.53489596,634.42776,22.06082195,634.42776,28.32919750,634.42776,30.39120059,634.42776,26.46156548,598.32469
Kepler-103 b,Kepler-103,TIC 121865656,0.133,3.4857,11.67,G2,6047.0,1.492,1.212,2.657,6.03,F9V,0.00100,0.1,1.23,20.5,0.98916066,150.17814,2.44170029,150.17814,2.75742013,150.17814,3.54091519,150.17814,3.79864850,150.17814,3.61466166,154.78623
Kepler-103 c,Kepler-103,TIC 121865656,0.6679,5.4539,58.47,G2,6047.0,1.492,1.212,2.657,6.03,F9V,0.00100,0.1,1.23,36.6,0.00598514,5.95507,0.01477406,5.95507,0.01668439,5.95507,0.02142510,5.95507,0.02298458,5.95507,0.02187132,6.13780
Kepler-92 c,Kepler-92,TIC 121943724,0.19054,2.6,6.1,,5883.0,1.7,1.21,3.616,3.98,G1V,0.00100,0.1,1.23,17.1,0.99632232,99.58815,2.45937856,99.58815,2.77738425,99.58815,3.56655193,99.58815,3.82615127,99.58815,3.47164156,97.87403
Kepler-92 b,Kepler-92,TIC 121943724,0.12232,3.51,64.3,,5883.0,1.7,1.21,3.616,3.98,G1V,0.00100,0.1,1.23,47.9,0.05353234,241.64903,0.13214228,241.64903,0.14922871,241.64903,0.19163064,241.64903,0.20557890,241.64903,0.18653111,237.48975
Kepler-278 b,Kepler-278,TIC 122225232,0.202,3.955,56.0,K2 III-IV,4965.0,2.861,1.227,4.460,5.761,K2V,0.00100,0.1,1.23,42.1,0.04566910,109.30179,0.11273220,109.30179,0.12730885,109.30179,0.16348246,109.30179,0.17538189,109.30179,0.16607121,112.10473
Kepler-278 c,Kepler-278,TIC 122225232,0.287,3.268,34.9,K2 III-IV,4965.0,2.861,1.227,4.460,5.761,K2V,0.00100,0.1,1.23,36.5,0.03286195,54.14598,0.08111830,54.14598,0.09160716,54.14598,0.11763647,54.14598,0.12619890,54.14598,0.11949925,55.53450
Kepler-19 b,Kepler-19,TIC 122375047,0.0846,2.209,6.1,,5541.0,0.859,0.936,0.691,1.9,G7V,0.00100,0.1,1.23,18.6,0.59232295,96.53822,1.46212358,96.53822,1.65118095,96.53822,2.12034852,96.53822,2.27468276,96.53822,1.85930983,85.47070
Kepler-19 c,Kepler-19,TIC 122375047,0.1765736996,3.68,13.1,,5544.0,0.859,0.936,0.691,1.9,G7V,0.00100,0.1,1.23,21.1,0.13630778,22.16093,0.33646986,22.16093,0.37997651,22.16093,0.48794327,22.16093,0.52345929,22.16093,0.42787198,19.62031
Kepler-24 c,Kepler-24,TIC 122376177,0.10612,2.514,9.99,,6028.0,1.099,1.06,1.159,3.02,F9V,0.00100,0.1,1.23,22.3,0.34697818,102.89766,0.85650064,102.89766,0.96724897,102.89766,1.24208369,102.89766,1.33249149,102.89766,1.16665273,97.58201
Kepler-24 b,Kepler-24,TIC 122376177,0.08045,2.348,11.14,,6028.0,1.099,1.06,1.159,3.02,F9V,0.00100,0.1,1.23,24.4,0.39555202,179.03911,0.97640305,179.03911,1.10265516,179.03911,1.41596428,179.03911,1.51902836,179.03911,1.32997366,169.79001
Kepler-24 d,Kepler-24,TIC 122376177,0.051,1.67,293.959,,5897.0,1.289,1.046,1.159,3.02,G0V,0.00100,0.1,1.23,148.3,0.00050859,445.51225,0.00125543,445.51225,0.00141776,445.51225,0.00182061,445.51225,0.00195312,445.51225,0.00171004,422.49724
Kepler-24 e,Kepler-24,TIC 122376177,0.138,2.78,26.2118,,5897.0,1.289,1.046,1.159,3.02,G0V,0.00100,0.1,1.23,34.3,0.04030086,60.84737,0.09948093,60.84737,0.11234414,60.84737,0.14426568,60.84737,0.15476637,60.84737,0.13550451,57.70402
Kepler-109 b,Kepler-109,TIC 122441003,0.0701,2.49,4.9,,5950.0,1.387,1.094,2.221,6.2,G0V,0.00100,0.1,1.23,15.7,6.15519270,451.96413,15.19382693,451.96413,17.15843848,451.96413,22.03384777,451.96413,23.63762995,451.96413,22.55919051,467.20837
Kepler-109 c,Kepler-109,TIC 122441003,0.1546,2.65,8.2,,5950.0,1.387,1.094,2.221,6.2,G0V,0.00100,0.1,1.23,19.7,0.54470674,92.92253,1.34458502,92.92253,1.51844426,92.92253,1.94989595,92.92253,2.09182342,92.92253,1.99638641,96.05670
Kepler-425 b,Kepler-425,TIC 122441491,0.0464,10.962,79.45,K1 V,5170.0,0.86,0.93,0.475,5.0,K1V,0.00100,0.1,1.23,30.1,0.97583735,220.78219,2.40881229,220.78219,2.72027961,220.78219,3.49322153,220.78219,3.74748336,220.78219,3.49322153,222.91409
Kepler-53 d,Kepler-53,TIC 122446315,0.091,2.12,37.1907,,6085.0,0.958,0.966,1.085,0.3,F9V,0.00100,0.1,1.23,46.8,0.01912352,131.06816,0.04720559,131.06816,0.05330943,131.06816,0.06845680,131.06816,0.07343958,131.06816,0.03768866,72.85591
Kepler-53 c,Kepler-53,TIC 122446315,0.22091,3.17,36.0,,5858.0,0.89,0.98,1.085,0.3,G1V,0.00100,0.1,1.23,37.7,0.01157854,22.24074,0.02858113,22.24074,0.03227676,22.24074,0.04144790,22.24074,0.04446478,22.24074,0.02281900,12.36280
Kepler-53 b,Kepler-53,TIC 122446315,0.1361,2.89,111.0,,5858.0,0.89,0.98,1.085,0.3,G1V,0.00100,0.1,1.23,69.3,0.00243133,58.59543,0.00600162,58.59543,0.00677765,58.59543,0.00870346,58.59543,0.00933696,58.59543,0.00479166,32.57102
Kepler-428 b,Kepler-428,TIC 122596693,0.0433,12.11,403.63,K1 V,5150.0,0.8,0.87,0.407,5.0,K1V,0.00100,0.1,1.23,64.5,0.05016740,217.28223,0.12383605,217.28223,0.13984846,217.28223,0.17958508,217.28223,0.19265658,217.28223,0.17958508,219.38033
WASP-72 b,WASP-72,TIC 122612091,0.03711,14.45961,731.009,F7,6250.0,2.18,2.78,5.297,3.2,F7V,0.00100,0.1,1.23,79.5,0.46086549,3846.07803,1.13762653,3846.07803,1.28472536,3846.07803,1.64976802,3846.07803,1.76985002,3846.07803,1.56168233,3675.88056
Kepler-240 c,Kepler-240,TIC 122712446,0.074,2.2,102.3,,4985.0,0.739,0.868,0.300,1.91,K2V,0.00100,0.1,1.23,76.2,0.00117879,54.69990,0.00290978,54.69990,0.00328603,54.69990,0.00421972,54.69990,0.00452686,54.69990,0.00370337,48.47001
