pl_name,hostname,tic_id,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma
TOI-2236 b,TOI-2236,TIC 394722182,0.05009,14.36991326,502.16888306,,6248.0,1.573,1.343,3.410,2.52,F7V,0.001,0.1,1.23
TOI-4377 b,TOI-4377,TIC 394918211,0.0579,15.10970598,304.161785499,,4974.0,3.52,1.36,6.640,3.88,K2V,0.001,0.1,1.23
TOI-1333 b,TOI-1333,TIC 395171208,0.0626,15.647764,753.2571,,6274.0,1.925,1.464,5.170,2.33,F7V,0.001,0.1,1.23
TOI-2152 A b,TOI-2152,TIC 395393265,0.05064,14.35870428,899.45439181,F4 V,6630.0,1.612,1.516,4.500,0.83,F4V,0.001,0.1,1.23
LHS 1478 b,LHS 1478,TIC 396562848,0.01848,1.242,2.33,m3 V,3381.0,0.246,0.236,0.007,nan,M3V,0.001,0.6,1.23
TOI-1694 b,TOI-1694,TIC 396740648,0.045,5.3422266,31.3,,5058.0,0.8036,0.853,0.382,4.3,K2V,0.001,0.1,1.23
HD 77946 b,HD 77946,TIC 39699648,0.073,2.89646124,10.9,F5,6007.0,1.3174,1.1973,2.036,3.1,F9.5V,0.001,0.1,1.23
TOI-2537 b,TOI-2537,TIC 399967279,0.3715,11.25381662,415.401727949,,4870.0,0.771,0.771,0.301,1.1,K3V,0.001,0.1,1.23
TOI-2368 b,TOI-2368,TIC 401125028,0.05649,10.83908434,206.58846455,,5360.0,0.846,0.897,0.531,4.2,G9V,0.001,0.1,1.23
TOI-2193 A b,TOI-2193 A,TIC 401604346,0.03319,19.83989584,298.75870258,,5966.0,1.248,1.082,1.779,5.5,F9.5V,0.001,0.1,1.23
TOI-5261 b,TOI-5261,TIC 402828941,0.05134,11.60129502,3651.84839643,,5790.0,1.021,1.037,1.049,4.2,G2V,0.001,0.1,1.23
TOI-2093 c,TOI-2093,TIC 402898317,0.257,2.3,15.8,K5 V,4426.0,0.729,0.745,0.184,6.6,K5V,0.001,0.1,1.23
TOI-5786 b,TOI-5786,TIC 40292751,0.114,8.54,73.0,,6235.0,1.36,1.23,2.496,2.5,F7V,0.001,0.1,1.23
HD 213885 b,HD 213885,TIC 403224672,0.02012,1.745,8.83,G,5978.0,1.1011,1.068,1.376,3.8,F9.5V,0.001,0.1,1.23
TOI-1842 b,TOI-1842,TIC 404505029,0.1,12.3485023,89.4,,6039.0,2.032,1.4643,4.955,2.5,F9V,0.001,0.1,1.23
HD 21520 b,HD 21520,TIC 404518509,0.1726,2.697,17.7,,5871.0,1.044,1.09,1.164,5.3,G1V,0.001,0.1,1.23
TOI-912 b,TOI-912,TIC 406941612,0.041,1.93,5.1,M3,3572.0,0.419,0.418,0.026,0.8,M2V,0.001,0.6,1.23
TOI-5388.01,TOI-5388,TIC 407591297,0.024335855,0.99,2.2,M3.0 V,3440.0,0.3,0.292,0.011,nan,M3V,0.001,0.6,1.23
HD 25463 c,HD 25463,TIC 407966340,0.0443,1.36354953,4.3,,6353.0,1.4182,1.251,2.970,2.3,F6V,0.001,0.1,1.23
HD 25463 b,HD 25463,TIC 407966340,0.076,2.54535814,8.7,,6353.0,1.4182,1.251,2.970,2.3,F6V,0.001,0.1,1.23
TOI-1736 b,TOI-1736,TIC 408618999,0.073,3.18175535,12.3,,5636.0,1.4286,1.0373,1.865,9.2,G5V,0.001,0.1,1.23
TOI-1759 b,TOI-1759,TIC 408636441,0.1177,3.14,10.8,M0.0 V,4065.0,0.597,0.606,0.088,5.0,K7V,0.001,0.1,1.23
TOI-4214 b,TOI-4214,TIC 409594381,0.05018,10.68215861,165.27077164,,6370.0,1.434,1.382,3.040,1.1,F6V,0.001,0.1,1.23
TOI-1478 b,TOI-1478,TIC 409794137,0.0818,11.99360935,279.68899816,,5597.0,1.048,0.947,0.971,9.1,G6V,0.001,0.1,1.23
GJ 357 b,GJ 357,TIC 413248763,0.036,1.2,1.84,M2.5 V,3505.0,0.337,0.342,0.016,nan,M2.5V,0.001,0.6,1.23
TOI-4773 b,TOI-4773,TIC 415276070,0.03216,15.22179579,1687.66884117,,6740.0,1.55,1.452,4.450,1.07,F3V,0.001,0.1,1.23
TOI-3523 A b,TOI-3523 A,TIC 417047499,0.03559,15.9727975,435.42491759,,6450.0,1.448,1.131,3.270,4.3,F5V,0.001,0.1,1.23
TOI-4137 b,TOI-4137,TIC 417646390,0.05222,13.57407563,457.67290608,,6202.0,1.438,1.313,2.750,2.1,F8V,0.001,0.1,1.23
TOI-1451 b,TOI-1451,TIC 417931607,0.127,2.61143902,15.2,,5801.0,1.0162,1.0022,1.058,4.0,G2V,0.001,0.1,1.23
TOI-1272 b,TOI-1272,TIC 417948359,0.0417,4.13204907,27.0,,5065.0,0.7934,0.8772,0.375,1.1,K2V,0.001,0.1,1.23
TOI-5817 b,TOI-5817,TIC 418604868,0.1223,3.08,10.3,G2 IV-V,5770.0,1.427,0.97,2.050,9.7,G2V,0.001,0.1,1.23
TOI-5205 b,TOI-5205,TIC 419411415,0.0199,11.6,343.0,M4.0,3430.0,0.394,0.392,0.019,nan,M3V,0.001,0.6,1.23
