pl_name,hostname,tic_id,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma
TOI-181 b,TOI-181,TIC 76923707,0.0539,6.9559,46.1687,K,4994.0,0.745,0.822,0.298,5.4,K2V,0.001,0.1,1.23
LHS 1678 c,LHS 1678,TIC 77156829,0.0327,0.941,1.4,M2.0 V,3490.0,0.329,0.345,0.015,7.0,M2.5V,0.001,0.6,1.23
LHS 1678 b,LHS 1678,TIC 77156829,0.01239,0.685,0.35,M2.0 V,3490.0,0.329,0.345,0.015,7.0,M2.5V,0.001,0.6,1.23
TOI-1064 c,TOI-1064,TIC 79748331,0.09429,2.651,2.5,,4734.0,0.726,0.748,0.238,9.4,K3V,0.001,0.1,1.23
TOI-1064 b,TOI-1064,TIC 79748331,0.06152,2.587,13.5,,4734.0,0.726,0.748,0.238,9.4,K3V,0.001,0.1,1.23
TOI-3288 b,TOI-3288,TIC 79920467,0.0215,11.2089807,670.61793877,K9 V,3933.0,0.67,0.64,0.110,nan,K9V,0.001,0.1,1.23
TOI-5422 b,TOI-5422,TIC 80611440,0.0619,9.10169233,8899.195396,,5820.0,1.474,1.066,2.250,7.6,G1V,0.001,0.1,1.23
TOI-1855 b,TOI-1855,TIC 81247740,0.02398,18.49481816,360.099585131,,5359.0,1.041,0.987,0.804,8.2,G9V,0.001,0.1,1.23
TOI-5398 c,TOI-5398,TIC 8260536,0.057,3.52,11.8,G V,6000.0,1.051,1.146,1.310,0.65,F9.5V,0.001,0.1,1.23
TOI-5398 b,TOI-5398,TIC 8260536,0.098,10.3,58.7,G V,6000.0,1.051,1.146,1.310,0.65,F9.5V,0.001,0.1,1.23
TOI-622 b,TOI-622,TIC 83092282,0.0708,9.2362001,96.302007321,F6 V,6400.0,1.415,1.313,2.979,0.9,F6V,0.001,0.1,1.23
TOI-2169 A b,TOI-2169 A,TIC 8516795,0.0896,12.50922246,329.588058059,,6270.0,1.82,1.42,4.630,2.51,F7V,0.001,0.1,1.23
TOI-4463 A b,TOI-4463 A,TIC 8599009,0.04036,13.26022417,252.355755158,,5640.0,1.062,1.056,1.026,4.1,G5V,0.001,0.1,1.23
TOI-3884 b,TOI-3884,TIC 86263325,0.0361,6.43,32.59,M4,3180.0,0.302,0.298,0.009,nan,M4V,0.001,0.6,1.23
TOI-5789 c,TOI-5789,TIC 87216634,0.1009,2.86,5.0,K1 V,5185.0,0.833,0.821,0.469,9.4,K1V,0.001,0.1,1.23
TOI-5592 b,TOI-5592,TIC 88529975,0.03935,17.14974047,285.727737893,,6237.0,1.393,1.194,2.640,3.6,F7V,0.001,0.1,1.23
TOI-2145 b,TOI-2145,TIC 88992642,0.1117,12.24020692,1805.26535176,,6206.0,2.75,1.71,9.920,1.6,F8V,0.001,0.1,1.23
TOI-132 b,TOI-132,TIC 89020549,0.026,3.42,22.4,G8 V,5397.0,0.9,0.97,0.600,6.34,G9V,0.001,0.1,1.23
TOI-1799 b,TOI-1799,TIC 8967242,0.072502,1.642,4.0,,5690.0,0.957,1.01,0.867,5.1,G4V,0.001,0.1,1.23
TOI-238 b,TOI-238,TIC 9006668,0.0212,1.559,3.37,K2 V,5059.0,0.756,0.781,0.338,7.9,K2V,0.001,0.1,1.23
TOI-2207 b,TOI-2207,TIC 90850770,0.0854,11.1529358,203.41018048,,6101.0,1.564,1.296,3.050,3.3,F9V,0.001,0.1,1.23
TOI-2345 b,TOI-2345,TIC 91555165,0.01705,1.504,3.49,K,4687.0,0.729,0.727,0.231,6.3,K4V,0.001,0.1,1.23
TOI-2345 c,TOI-2345,TIC 91555165,0.1257,2.451,7.27,K,4687.0,0.729,0.727,0.231,6.3,K4V,0.001,0.1,1.23
TOI-1898 b,TOI-1898,TIC 91987762,0.269,9.39553231,129.0,,6241.0,1.6131,1.2484,3.558,3.1,F7V,0.001,0.1,1.23
TOI-1775 b,TOI-1775,TIC 9348006,0.08,8.04728896,96.0,,5284.0,0.8288,0.9218,0.483,0.8,K0V,0.001,0.1,1.23
TOI-421 c,TOI-421,TIC 94986319,0.117,5.09,14.1,G9 V,5291.0,0.866,0.833,0.540,10.9,K0V,0.001,0.1,1.23
TOI-421 b,TOI-421,TIC 94986319,0.0554,2.64,6.7,G9 V,5291.0,0.866,0.833,0.540,10.9,K0V,0.001,0.1,1.23
TOI-4201 b,TOI-4201,TIC 95057860,0.04,13.67495645,788.21444936,M1.0+/-0.5,3794.0,0.63,0.61,0.076,1.4,M0.5V,0.001,0.6,1.23
TOI-4794 b,TOI-4794,TIC 95589845,0.0492,14.35870428,308.29355479,,6390.0,1.451,1.25,3.160,2.7,F6V,0.001,0.1,1.23
TOI-3819 b,TOI-3819,TIC 95660472,0.04611,13.13692538,352.78953177,,5859.0,1.538,1.242,2.510,4.5,G1V,0.001,0.1,1.23
TOI-4734 b,TOI-4734,TIC 97714451,0.074,10.9175472,61.658710958,,6070.0,1.857,1.391,4.210,3.2,F9V,0.001,0.1,1.23
TOI-2989 b,TOI-2989,TIC 97825640,0.0384,12.55405838,953.485221,K4 V,4672.0,0.76,0.77,0.183,nan,K4V,0.001,0.1,1.23
LTT 1445 A b,LTT 1445 A,TIC 98796344,0.0381,1.34,2.73,M3.0,3562.0,0.271,0.257,0.009,nan,M2V,0.001,0.6,1.23
LTT 1445 A c,LTT 1445 A,TIC 98796344,0.02661,1.147,1.54,M3.0,3340.0,0.265,0.257,0.009,nan,M3.5V,0.001,0.6,1.23
TOI-1199 b,TOI-1199,TIC 99869022,0.04988,10.5140239,75.960989273,,5710.0,1.45,1.23,2.015,4.2,G3V,0.001,0.1,1.23
TOI-5734 b,TOI-5734,TIC 9989136,0.05921,2.1,9.1,K3-K4 V,4750.0,0.639,0.724,0.181,0.5,K3V,0.001,0.1,1.23
